,HGNC ID,Approved symbol,Approved name,Ensembl gene ID,UCSC gene ID
59,HGNC:31,ABCA11P,"ATP binding cassette subfamily A member 11, pseudogene",ENSG00000251595,
60,HGNC:14637,ABCA12,ATP binding cassette subfamily A member 12,ENSG00000144452,uc002vew.3
61,HGNC:14638,ABCA13,ATP binding cassette subfamily A member 13,ENSG00000179869,uc003toq.2
62,HGNC:32972,ABCA17P,"ATP binding cassette subfamily A member 17, pseudogene",ENSG00000238098,
63,HGNC:40,ABCB1,ATP binding cassette subfamily B member 1,ENSG00000085563,uc003uiz.3
64,HGNC:45,ABCB4,ATP binding cassette subfamily B member 4,ENSG00000005471,uc003uix.1
65,HGNC:46,ABCB5,ATP binding cassette subfamily B member 5,ENSG00000004846,uc010kuh.4
66,HGNC:47,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),ENSG00000115657,uc002vkc.3
67,HGNC:48,ABCB7,ATP binding cassette subfamily B member 7,ENSG00000131269,uc004ebz.5
68,HGNC:49,ABCB8,ATP binding cassette subfamily B member 8,ENSG00000197150,uc003wik.6
69,HGNC:50,ABCB9,ATP binding cassette subfamily B member 9,ENSG00000150967,uc058upb.1
70,HGNC:41,ABCB10,ATP binding cassette subfamily B member 10,ENSG00000135776,uc001htp.4
71,HGNC:14114,ABCB10P1,ABCB10 pseudogene 1,ENSG00000274099,
72,HGNC:31129,ABCB10P3,ABCB10 pseudogene 3,ENSG00000261524,
73,HGNC:31130,ABCB10P4,ABCB10 pseudogene 4,ENSG00000260053,
74,HGNC:42,ABCB11,ATP binding cassette subfamily B member 11,ENSG00000073734,uc002ueo.2
75,HGNC:51,ABCC1,ATP binding cassette subfamily C member 1,ENSG00000103222,uc010bvi.4
76,HGNC:53,ABCC2,ATP binding cassette subfamily C member 2,ENSG00000023839,uc001kqf.3
77,HGNC:54,ABCC3,ATP binding cassette subfamily C member 3,ENSG00000108846,uc002isl.4
78,HGNC:55,ABCC4,ATP binding cassette subfamily C member 4,ENSG00000125257,uc001vmd.5
79,HGNC:56,ABCC5,ATP binding cassette subfamily C member 5,ENSG00000114770,uc003fmg.4
80,HGNC:40055,ABCC5-AS1,ABCC5 antisense RNA 1,ENSG00000223882,uc031scp.1
81,HGNC:57,ABCC6,ATP binding cassette subfamily C member 6,ENSG00000091262,uc002den.5
82,HGNC:33352,ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1,ENSG00000256340,
83,HGNC:33353,ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2,ENSG00000255277,
84,HGNC:59,ABCC8,ATP binding cassette subfamily C member 8,ENSG00000006071,uc001mnc.4
85,HGNC:60,ABCC9,ATP binding cassette subfamily C member 9,ENSG00000069431,uc001rfi.2
86,HGNC:52,ABCC10,ATP binding cassette subfamily C member 10,ENSG00000124574,uc003ouz.1
87,HGNC:14639,ABCC11,ATP binding cassette subfamily C member 11,ENSG00000121270,uc059txd.1
88,HGNC:14640,ABCC12,ATP binding cassette subfamily C member 12,ENSG00000140798,uc002efc.1
89,HGNC:16022,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),ENSG00000243064,
90,HGNC:61,ABCD1,ATP binding cassette subfamily D member 1,ENSG00000101986,uc004fif.2
91,HGNC:62,ABCD1P1,ATP binding cassette subfamily D member 1 pseudogene 1,,
92,HGNC:63,ABCD1P2,ATP binding cassette subfamily D member 1 pseudogene 2,ENSG00000215151,
93,HGNC:64,ABCD1P3,ATP binding cassette subfamily D member 1 pseudogene 3,ENSG00000261233,
94,HGNC:65,ABCD1P4,ATP binding cassette subfamily D member 1 pseudogene 4,ENSG00000225293,
95,HGNC:42662,ABCD1P5,ATP binding cassette subfamily D member 1 pseudogene 5,ENSG00000214330,
96,HGNC:66,ABCD2,ATP binding cassette subfamily D member 2,ENSG00000173208,uc001rmb.3
97,HGNC:67,ABCD3,ATP binding cassette subfamily D member 3,ENSG00000117528,uc001dqn.5
98,HGNC:68,ABCD4,ATP binding cassette subfamily D member 4,ENSG00000119688,uc001xpr.3
99,HGNC:69,ABCE1,ATP binding cassette subfamily E member 1,ENSG00000164163,uc003ijy.4
100,HGNC:70,ABCF1,ATP binding cassette subfamily F member 1,ENSG00000204574,uc003nql.4
101,HGNC:53628,ABCF1-DT,ABCF1 divergent transcript,,
102,HGNC:71,ABCF2,ATP binding cassette subfamily F member 2,ENSG00000033050,uc003wjp.5
103,HGNC:54751,ABCF2-H2BE1,ABCF2-H2BE1 readthrough,ENSG00000285292,
104,HGNC:48841,ABCF2P1,ATP binding cassette subfamily F member 2 pseudogene 1,ENSG00000242159,
105,HGNC:48842,ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2,ENSG00000228769,
106,HGNC:72,ABCF3,ATP binding cassette subfamily F member 3,ENSG00000161204,uc003fmz.3
107,HGNC:73,ABCG1,ATP binding cassette subfamily G member 1,ENSG00000160179,uc002zaq.4
108,HGNC:74,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),ENSG00000118777,uc003hrg.4
109,HGNC:13884,ABCG4,ATP binding cassette subfamily G member 4,ENSG00000172350,uc031yhk.2
110,HGNC:13886,ABCG5,ATP binding cassette subfamily G member 5,ENSG00000138075,uc002rtn.3
111,HGNC:13887,ABCG8,ATP binding cassette subfamily G member 8,ENSG00000143921,uc002rtq.3
112,HGNC:17553,ABHD1,abhydrolase domain containing 1,ENSG00000143994,uc002rit.4
113,HGNC:18717,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",ENSG00000140526,uc002bnk.2
114,HGNC:18718,ABHD3,"abhydrolase domain containing 3, phospholipase",ENSG00000158201,uc002ktl.2
115,HGNC:20154,ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",ENSG00000100439,uc001wgm.4
116,HGNC:21396,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ENSG00000011198,uc003cmx.4
117,HGNC:21398,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",ENSG00000163686,uc003djt.5
118,HGNC:23759,ABHD8,abhydrolase domain containing 8,ENSG00000127220,uc002ngb.4
119,HGNC:25656,ABHD10,"abhydrolase domain containing 10, depalmitoylase",ENSG00000144827,uc003dyk.6
120,HGNC:16407,ABHD11,abhydrolase domain containing 11,ENSG00000106077,uc003tzb.4
121,HGNC:18289,ABHD11-AS1,ABHD11 antisense RNA 1 (tail to tail),ENSG00000225969,
122,HGNC:40012,ABHD11-AS2,ABHD11 antisense RNA 2,,
123,HGNC:15868,ABHD12,"abhydrolase domain containing 12, lysophospholipase",ENSG00000100997,uc002wus.3
124,HGNC:19837,ABHD12B,abhydrolase domain containing 12B,ENSG00000131969,uc001wyr.3
125,HGNC:20293,ABHD13,abhydrolase domain containing 13,ENSG00000139826,uc001vqq.4
126,HGNC:24538,ABHD14A,abhydrolase domain containing 14A,ENSG00000248487,uc003dco.4
127,HGNC:38856,ABHD14A-ACY1,ABHD14A-ACY1 readthrough,ENSG00000114786,uc062kji.1
128,HGNC:28235,ABHD14B,abhydrolase domain containing 14B,ENSG00000114779,uc003dcn.3
129,HGNC:26971,ABHD15,abhydrolase domain containing 15,ENSG00000168792,uc002hed.3
130,HGNC:49685,ABHD15-AS1,ABHD15 antisense RNA 1,ENSG00000264031,
131,HGNC:13921,ABHD16A,"abhydrolase domain containing 16A, phospholipase",ENSG00000204427,uc003nvy.3
132,HGNC:16128,ABHD16B,abhydrolase domain containing 16B,ENSG00000183260,uc002ygx.3
133,HGNC:28756,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",ENSG00000129968,uc002lug.4
134,HGNC:28394,ABHD17AP1,ABHD17A pseudogene 1,ENSG00000198658,
135,HGNC:34041,ABHD17AP3,ABHD17A pseudogene 3,ENSG00000250536,
136,HGNC:34042,ABHD17AP4,ABHD17A pseudogene 4,ENSG00000229107,
137,HGNC:34043,ABHD17AP5,ABHD17A pseudogene 5,ENSG00000263366,
138,HGNC:34044,ABHD17AP6,ABHD17A pseudogene 6,ENSG00000226981,
139,HGNC:38508,ABHD17AP7,ABHD17A pseudogene 7,ENSG00000260864,
140,HGNC:38509,ABHD17AP8,ABHD17A pseudogene 8,ENSG00000260540,
141,HGNC:38510,ABHD17AP9,ABHD17A pseudogene 9,ENSG00000261536,
142,HGNC:24278,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",ENSG00000107362,uc004ail.4
143,HGNC:26925,ABHD17C,"abhydrolase domain containing 17C, depalmitoylase",ENSG00000136379,uc002bfu.4
144,HGNC:26111,ABHD18,abhydrolase domain containing 18,ENSG00000164074,
145,HGNC:11320,ABI1,abl interactor 1,ENSG00000136754,uc001isx.4
146,HGNC:20035,ABI1P1,abl interactor 1 pseudogene 1,ENSG00000271484,
147,HGNC:24011,ABI2,abl interactor 2,ENSG00000138443,uc002uzz.5
148,HGNC:29859,ABI3,ABI family member 3,ENSG00000108798,uc002iop.1
149,HGNC:17265,ABI3BP,ABI family member 3 binding protein,ENSG00000154175,uc003dun.4
150,HGNC:1364,ABITRAM,actin binding transcription modulator,ENSG00000119328,uc004bdn.4
151,HGNC:39851,ABITRAMP1,ABITRAM pseudogene 1,ENSG00000251106,
152,HGNC:76,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ENSG00000097007,uc004bzv.4
153,HGNC:77,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ENSG00000143322,uc001gmj.5
154,HGNC:78,ABLIM1,actin binding LIM protein 1,ENSG00000099204,uc057wcy.1
155,HGNC:19195,ABLIM2,actin binding LIM protein family member 2,ENSG00000163995,uc003gkj.5
156,HGNC:29132,ABLIM3,actin binding LIM protein family member 3,ENSG00000173210,uc003lpy.3
157,HGNC:79,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",ENSG00000175164,uc064wua.1
158,HGNC:81,ABR,ABR activator of RhoGEF and GTPase,ENSG00000159842,uc002fsd.6
159,HGNC:30655,ABRA,actin binding Rho activating protein,ENSG00000174429,uc003ymm.5
160,HGNC:21230,ABRACL,ABRA C-terminal like,ENSG00000146386,uc003qil.2
161,HGNC:25829,ABRAXAS1,"abraxas 1, BRCA1 A complex subunit",ENSG00000163322,uc003hou.3
162,HGNC:28975,ABRAXAS2,"abraxas 2, BRISC complex subunit",ENSG00000165660,uc001lib.4
163,HGNC:17369,ABT1,activator of basal transcription 1,ENSG00000146109,uc003nii.4
164,HGNC:39557,ABT1P1,activator of basal transcription 1 pseudogene 1,ENSG00000250496,
165,HGNC:18275,ABTB1,ankyrin repeat and BTB domain containing 1,ENSG00000114626,uc003ejt.4
166,HGNC:23842,ABTB2,ankyrin repeat and BTB domain containing 2,ENSG00000166016,uc001mvl.3
167,HGNC:82,ACAA1,acetyl-CoA acyltransferase 1,ENSG00000060971,uc003cht.4
168,HGNC:83,ACAA2,acetyl-CoA acyltransferase 2,ENSG00000167315,uc002ldw.5
169,HGNC:84,ACACA,acetyl-CoA carboxylase alpha,ENSG00000278540,uc284osy.1
170,HGNC:85,ACACB,acetyl-CoA carboxylase beta,ENSG00000076555,uc001tob.4
171,HGNC:86,ACAD,"acyl-Coenzyme A dehydrogenase, multiple (chr X)",,
172,HGNC:87,ACAD8,acyl-CoA dehydrogenase family member 8,ENSG00000151498,uc001qhk.4
173,HGNC:21497,ACAD9,acyl-CoA dehydrogenase family member 9,ENSG00000177646,uc003ela.5
174,HGNC:21597,ACAD10,acyl-CoA dehydrogenase family member 10,ENSG00000111271,uc009zvx.4
175,HGNC:30211,ACAD11,acyl-CoA dehydrogenase family member 11,ENSG00000240303,uc003eov.5
176,HGNC:88,ACADL,acyl-CoA dehydrogenase long chain,ENSG00000115361,uc002vdz.5
177,HGNC:89,ACADM,acyl-CoA dehydrogenase medium chain,ENSG00000117054,uc001dgw.6
178,HGNC:90,ACADS,acyl-CoA dehydrogenase short chain,ENSG00000122971,uc001tza.5
179,HGNC:91,ACADSB,acyl-CoA dehydrogenase short/branched chain,ENSG00000196177,uc001lhb.4
180,HGNC:92,ACADVL,acyl-CoA dehydrogenase very long chain,ENSG00000072778,uc002gev.5
181,HGNC:319,ACAN,aggrecan,ENSG00000157766,uc010upo.1
182,HGNC:16467,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",ENSG00000072818,uc002ggd.3
183,HGNC:16469,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",ENSG00000114331,uc003fun.5
184,HGNC:41426,ACAP2-IT1,ACAP2 intronic transcript 1,ENSG00000229325,uc062rqs.1
185,HGNC:16754,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ENSG00000131584,uc001aeb.3
186,HGNC:93,ACAT1,acetyl-CoA acetyltransferase 1,ENSG00000075239,uc001pjy.4
187,HGNC:94,ACAT2,acetyl-CoA acetyltransferase 2,ENSG00000120437,uc010kjy.4
188,HGNC:15453,ACBD3,acyl-CoA binding domain containing 3,ENSG00000182827,uc001hpy.4
189,HGNC:40701,ACBD3-AS1,ACBD3 antisense RNA 1,ENSG00000234478,
190,HGNC:23337,ACBD4,acyl-CoA binding domain containing 4,ENSG00000181513,uc002iic.4
191,HGNC:23338,ACBD5,acyl-CoA binding domain containing 5,ENSG00000107897,uc001ito.4
192,HGNC:23339,ACBD6,acyl-CoA binding domain containing 6,ENSG00000230124,uc001gog.4
193,HGNC:17715,ACBD7,acyl-CoA binding domain containing 7,ENSG00000176244,uc001inv.4
194,HGNC:23989,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),ENSG00000110455,uc001mxx.3
195,HGNC:34391,ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,ENSG00000205126,uc001mxw.1
196,HGNC:25070,ACD,ACD shelterin complex subunit and telomerase recruitment factor,ENSG00000102977,uc002etp.5
197,HGNC:2707,ACE,angiotensin I converting enzyme,ENSG00000159640,uc002jau.4
198,HGNC:13557,ACE2,angiotensin converting enzyme 2,ENSG00000130234,uc004cxb.2
199,HGNC:44365,ACE3P,"angiotensin I converting enzyme 3, pseudogene",ENSG00000224353,
200,HGNC:18356,ACER1,alkaline ceramidase 1,ENSG00000167769,uc002mel.3
201,HGNC:23675,ACER2,alkaline ceramidase 2,ENSG00000177076,uc003zny.2
202,HGNC:54674,ACER2P1,ACER2 pseudogene 1,ENSG00000180105,
203,HGNC:16066,ACER3,alkaline ceramidase 3,ENSG00000078124,uc009yum.2
204,HGNC:108,ACHE,acetylcholinesterase (Cartwright blood group),ENSG00000087085,uc003uxi.4
205,HGNC:17066,ACIN1,apoptotic chromatin condensation inducer 1,ENSG00000100813,uc001wit.5
206,HGNC:4035,ACKR1,atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,
207,HGNC:1565,ACKR2,atypical chemokine receptor 2,ENSG00000144648,
208,HGNC:23692,ACKR3,atypical chemokine receptor 3,ENSG00000144476,
209,HGNC:1611,ACKR4,atypical chemokine receptor 4,ENSG00000129048,
210,HGNC:21142,ACKR4P1,ACKR4 pseudogene 1,ENSG00000225415,
211,HGNC:114,ACLS,acrocallosal syndrome,,
212,HGNC:115,ACLY,ATP citrate lyase,ENSG00000131473,uc002hyg.4
213,HGNC:116,ACMG,acromegaly,,
214,HGNC:19288,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,ENSG00000153086,uc002ttz.4
215,HGNC:34504,ACNATP,acyl-CoA:amino acid N-acyltransferase pseudogene,ENSG00000227411,
216,HGNC:117,ACO1,aconitase 1,ENSG00000122729,uc003zqw.5
217,HGNC:118,ACO2,aconitase 2,ENSG00000100412,uc003bac.3
218,HGNC:33904,ACOD1,aconitate decarboxylase 1,ENSG00000102794,uc031qmi.3
219,HGNC:33128,ACOT1,acyl-CoA thioesterase 1,ENSG00000184227,uc001xol.2
220,HGNC:18431,ACOT2,acyl-CoA thioesterase 2,ENSG00000119673,uc059ddl.1
221,HGNC:19748,ACOT4,acyl-CoA thioesterase 4,ENSG00000177465,uc001xoo.4
222,HGNC:33159,ACOT6,acyl-CoA thioesterase 6,ENSG00000205669,uc001xop.3
223,HGNC:24157,ACOT7,acyl-CoA thioesterase 7,ENSG00000097021,uc001ams.4
224,HGNC:15919,ACOT8,acyl-CoA thioesterase 8,ENSG00000101473,uc002xqa.3
225,HGNC:17152,ACOT9,acyl-CoA thioesterase 9,ENSG00000123130,uc004dap.4
226,HGNC:18156,ACOT11,acyl-CoA thioesterase 11,ENSG00000162390,uc001cxm.3
227,HGNC:24436,ACOT12,acyl-CoA thioesterase 12,ENSG00000172497,uc003khl.5
228,HGNC:20999,ACOT13,acyl-CoA thioesterase 13,ENSG00000112304,uc003nek.4
229,HGNC:119,ACOX1,acyl-CoA oxidase 1,ENSG00000161533,uc002jqe.5
230,HGNC:120,ACOX2,acyl-CoA oxidase 2,ENSG00000168306,uc003dkl.4
231,HGNC:121,ACOX3,"acyl-CoA oxidase 3, pristanoyl",ENSG00000087008,uc003glc.5
232,HGNC:25621,ACOXL,acyl-CoA oxidase like,ENSG00000153093,uc021vmm.2
233,HGNC:41112,ACOXL-AS1,ACOXL antisense RNA 1,ENSG00000204581,
234,HGNC:122,ACP1,acid phosphatase 1,ENSG00000143727,uc002qwg.4
235,HGNC:123,ACP2,"acid phosphatase 2, lysosomal",ENSG00000134575,uc001nei.3
236,HGNC:125,ACP3,acid phosphatase 3,ENSG00000014257,uc010htp.3
237,HGNC:14376,ACP4,acid phosphatase 4,ENSG00000142513,uc002pta.1
238,HGNC:124,ACP5,"acid phosphatase 5, tartrate resistant",ENSG00000102575,uc002msi.5
239,HGNC:29609,ACP6,"acid phosphatase 6, lysophosphatidic",ENSG00000162836,uc001epr.3
240,HGNC:33781,ACP7,"acid phosphatase 7, tartrate resistant (putative)",ENSG00000183760,
241,HGNC:126,ACR,acrosin,ENSG00000100312,uc003bnh.5
242,HGNC:17195,ACRBP,acrosin binding protein,ENSG00000111644,uc001qpu.2
243,HGNC:54745,ACRP1,ACR pseudogene 1,ENSG00000175509,
244,HGNC:127,ACRV1,acrosomal vesicle protein 1,ENSG00000134940,uc001qcs.4
245,HGNC:29567,ACSBG1,acyl-CoA synthetase bubblegum family member 1,ENSG00000103740,uc002bdh.4
246,HGNC:24174,ACSBG2,acyl-CoA synthetase bubblegum family member 2,ENSG00000130377,uc002mef.3
247,HGNC:26101,ACSF2,acyl-CoA synthetase family member 2,ENSG00000167107,uc002iqu.4
248,HGNC:27288,ACSF3,acyl-CoA synthetase family member 3,ENSG00000176715,uc021tmq.2
249,HGNC:3569,ACSL1,acyl-CoA synthetase long chain family member 1,ENSG00000151726,uc063biw.1
250,HGNC:3570,ACSL3,acyl-CoA synthetase long chain family member 3,ENSG00000123983,uc002vni.4
251,HGNC:40227,ACSL3-AS1,ACSL3 antisense RNA 1,ENSG00000234193,
252,HGNC:3571,ACSL4,acyl-CoA synthetase long chain family member 4,ENSG00000068366,uc004eoi.3
253,HGNC:16526,ACSL5,acyl-CoA synthetase long chain family member 5,ENSG00000197142,uc001kzs.4
254,HGNC:16496,ACSL6,acyl-CoA synthetase long chain family member 6,ENSG00000164398,uc063gss.1
255,HGNC:40772,ACSL6-AS1,ACSL6 antisense RNA 1,ENSG00000223548,
256,HGNC:18049,ACSM1,acyl-CoA synthetase medium chain family member 1,ENSG00000166743,uc010bwg.2
257,HGNC:32017,ACSM2A,acyl-CoA synthetase medium chain family member 2A,ENSG00000183747,uc002dhg.5
258,HGNC:30931,ACSM2B,acyl-CoA synthetase medium chain family member 2B,ENSG00000066813,uc002dhk.5
259,HGNC:10522,ACSM3,acyl-CoA synthetase medium chain family member 3,ENSG00000005187,uc002dhr.4
260,HGNC:32016,ACSM4,acyl-CoA synthetase medium chain family member 4,ENSG00000215009,uc001qsx.2
261,HGNC:26060,ACSM5,acyl-CoA synthetase medium chain family member 5,ENSG00000183549,uc002dhe.4
262,HGNC:51295,ACSM5P1,acyl-CoA synthetase medium chain family member 5 pseudogene 1,ENSG00000260762,
263,HGNC:31665,ACSM6,acyl-CoA synthetase medium chain family member 6,ENSG00000173124,
264,HGNC:16091,ACSS1,acyl-CoA synthetase short chain family member 1,ENSG00000154930,uc061vwl.1
265,HGNC:15814,ACSS2,acyl-CoA synthetase short chain family member 2,ENSG00000131069,uc002xbd.3
266,HGNC:24723,ACSS3,acyl-CoA synthetase short chain family member 3,ENSG00000111058,uc001szl.2
267,HGNC:129,ACTA1,"actin alpha 1, skeletal muscle",ENSG00000143632,uc001htm.4
268,HGNC:130,ACTA2,"actin alpha 2, smooth muscle",ENSG00000107796,uc001kfq.4
269,HGNC:45169,ACTA2-AS1,ACTA2 antisense RNA 1,ENSG00000180139,uc001kfo.2
270,HGNC:132,ACTB,actin beta,ENSG00000075624,uc003sot.5
271,HGNC:17780,ACTBL2,actin beta like 2,ENSG00000169067,uc003jrm.3
272,HGNC:134,ACTBP1,ACTB pseudogene 1,ENSG00000229145,
273,HGNC:135,ACTBP2,ACTB pseudogene 2,ENSG00000213763,
274,HGNC:136,ACTBP3,ACTB pseudogene 3,,
275,HGNC:137,ACTBP4,ACTB pseudogene 4,ENSG00000286676,
276,HGNC:138,ACTBP5,"actin, beta pseudogene 5",,
277,HGNC:139,ACTBP6,ACTB pseudogene 6,ENSG00000203413,
278,HGNC:140,ACTBP7,ACTB pseudogene 7,ENSG00000185607,
279,HGNC:141,ACTBP8,ACTB pseudogene 8,ENSG00000220267,
280,HGNC:142,ACTBP9,ACTB pseudogene 9,ENSG00000266920,
281,HGNC:31819,ACTBP10,ACTB pseudogene 10,,
282,HGNC:33971,ACTBP11,ACTB pseudogene 11,ENSG00000188460,
283,HGNC:150,ACTBP12,ACTB pseudogene 12,ENSG00000233125,
284,HGNC:45086,ACTBP14,ACTB pseudogene 14,ENSG00000229001,
285,HGNC:55065,ACTBP15,ACTB pseudogene 15,ENSG00000213857,
286,HGNC:143,ACTC1,actin alpha cardiac muscle 1,ENSG00000159251,uc001ziu.2
287,HGNC:51491,ACTE1P,"actin epsilon 1, pseudogene",ENSG00000172900,
288,HGNC:144,ACTG1,actin gamma 1,ENSG00000184009,uc002kal.3
